"id","name","createDate","category","lon","lat"
142,"Burgcafé",2015-01-30,"cafe",13.4704152,48.5774555
143,"Tian Restaurant",2014-11-17,"food",16.3745292,48.2052633
145,"400 Beach Seafood",2014-12-16,"food",-82.631548,27.777371
146,"Ferg's Sports Bar & Grill",2014-08-23,"food",-82.6523574,27.7709052
154,"Mama Rosa Rotisserie & Grill",2014-03-29,"food",-76.4505536,39.3475198
147,"Detské Centrum Hobík (školka, kroužky)",2013-11-27,"attraction",14.3165338,49.9335938
148,"gobit.cz - umožnuje prijímat platby v bitcoinech",2013-11-28,"default",14.2364788,49.9208226
149,"Primaleva Massage",2014-04-01,"default",11.9017638,57.6549895
150,"Filmhuis Cavia",2014-04-03,"attraction",4.8703456,52.3819756
151,"Dolce Vita",2013-08-01,"food",74.5905907,42.8431935
152,"Lago delle Rose",2014-07-01,"food",8.4027712,45.9763815
159,"Macy's",2014-03-13,"shopping",-74.5519558,40.9076669
156,"Hawsib Information Technologies",2014-04-26,"shopping",35.2243887,31.7125521
157,"Adana Grill",2013-11-09,"food",6.1510963,51.3677106
158,"Joseph Grill",2013-11-09,"food",6.1511367,51.3674702
160,"Lord & Taylor",2014-03-13,"shopping",-74.5552585,40.9073762
165,"China City",2014-03-18,"food",-82.3995584,28.1000502
161,"De Nieuwe Winkel",2014-10-15,"food",5.8688296,51.8453363
162,"Subway",2013-11-09,"food",37.5202352,55.9317618
164,"Sun of A Gun",2014-04-29,"default",-75.7115951,45.4001728
170,"http://www.themodernshop.ca/",2014-03-08,"default",-75.6939621,45.4264515
171,"Counterbalance Bicycles",2014-04-09,"shopping",-122.2958156,47.6648179
166,"CeX Cardiff",2014-12-04,"default",-3.1787073,51.4767866
167,"Progressbar",2013-04-13,"default",17.1065474,48.1442725
168,"U Malíru",2015-04-15,"food",14.4053181,50.0864594
169,"QWERTZ",2014-11-28,"nightlife",6.6340684,46.5183958
131,"Rooted Kava Bar",2014-06-05,"nightlife",-117.1297638,32.7478087
130,"Grumpy's Green",2014-01-18,"nightlife",144.983027,-37.80524
128,"Michal Photo",2014-01-03,"default",-6.1327079,53.284784
173,"Andrago Winery",2014-10-08,"default",14.4503536,49.7808809
175,"John Landot",2013-07-06,"shopping",2.2443054,48.8431028
189,"Sandman Hotel Castlegar",2014-07-17,"lodging",-117.6555992,49.296331
180,"Pacific Tradewinds Hostel",2013-04-14,"lodging",-122.4042094,37.7937071
179,"soon bitcoinkiosk.ch",2014-03-05,"default",17.016939,51.0859286
183,"Bamboo Bistro North",2014-04-12,"food",-97.7196383,30.3958149
181,"Farmacia Optica Agostini",2014-05-25,"default",-58.0425912,-34.8662606
182,"Ulrich Buhmann",2013-11-26,"shopping",10.1798307,47.9860263
185,"Bombay Bistro",2014-04-12,"food",-97.7474271,30.3986564
184,"brmlab",2013-03-03,"default",14.4359065,50.0984671
194,"The Ale and the Witch",2014-11-24,"food",-82.633613,27.773918
187,"EcoHotel Gora",2014-12-11,"lodging",27.8294873,42.7621292
193,"Euro Flowers",2015-03-21,"shopping",-79.5876526,43.5495948
190,"Bohne",2014-12-15,"cafe",9.7064773,52.3739428
192,"CeX Glasgow Sauchiehall",2014-08-18,"default",-4.2627761,55.8654691
215,"Sandman Hotel & Suites Calgary South",2014-07-17,"lodging",-114.0452219,50.9815732
199,"King Wok",2014-04-01,"food",-94.4175927,39.0408505
195,"Area di Servizio Petrol-Airport",2015-02-12,"transport",11.1230431,46.0384428
197,"Nick's Cafe",2015-04-20,"food",-61.415486,10.556875
198,"Affittacamere B&B Cagliari Novecento",2014-12-12,"lodging",9.1111319,39.2160131
201,"Mama Garden",2014-04-01,"food",-94.4160484,39.0402008
200,"Bofinn",2014-11-06,"food",-3.6835198,40.4351252
14683,"KriptoBR",2018-08-20,"shopping",-46.6600996255875,-23.5580422180441
202,"Tamero",2014-11-06,"food",-3.6865757,40.4365907
203,"La Úrsula",2014-06-20,"food",-3.6865518,40.437361
204,"La Taberna",2014-11-06,"food",-3.6865027,40.437451
205,"La Armonia",2014-11-06,"food",-3.6848207,40.4361646
206,"Mesón 5Jotas",2014-11-06,"food",-3.6862478,40.4361971
207,"Ori",2014-11-06,"food",-3.6861892,40.4364074
208,"El Séptimo",2014-11-06,"food",-3.6849646,40.4351692
209,"El Asador de Aranda",2014-11-06,"food",-3.6844928,40.4352013
211,"do you space",2014-08-03,"default",13.4581799,52.5177555
212,"Fahrradküche Graz",2014-06-22,"shopping",15.4423455,47.063834
213,"Tricky Tunes",2013-10-04,"shopping",13.462218,52.5133689
214,"Helsinki Shooting Club",2014-08-27,"default",24.9327511,60.1645366
172,"Stage West",2014-07-17,"lodging",-79.6311358,43.6422697
176,"Doctor Recommended",2013-11-30,"attraction",-119.504094,49.8807247
177,"Moe's Original Bar B Que",2014-10-11,"food",-105.2539748,39.9991059
8227,"L'atelier de l'éphémère",2016-06-15,"default",2.36894845962524,48.8293565716664
9528,"Stadler Völkel Rechtsanwälte",2017-03-02,"default",16.3740867376328,48.2046409519133
219,"Organica: Garden Supply & Hydroponics",2014-06-11,"default",-73.784384,42.6402694
221,"Red Door Movie Rental",2014-11-08,"default",-122.1479633,37.4269015
222,"VeggieGalaxy",2013-05-01,"food",-71.1011293,42.3636635
226,"The Bicycle Stable",2014-12-18,"shopping",-75.1345113,39.9724031
227,"Thai Passion - Downtown",2014-04-12,"food",-97.7428345,30.2689156
318,"Bergasthof Plörr",2014-03-26,"lodging",11.4136741,46.5637114
223,"Drogheria Micheli",2015-02-10,"grocery",11.0439284,45.888989
224,"Silver Moon",2014-02-28,"shopping",17.1188022,48.1471429
225,"Hotel van Walsum",2014-02-14,"lodging",4.4643255,51.9151473
228,"Green Tea Sushi Bar",2014-03-21,"food",-96.5740607,39.1850563
230,"Mariner's Inn",2014-01-02,"lodging",-121.1120376,35.572302
232,"Netsville",2013-12-30,"default",-77.6189344,43.1550576
229,"Callejón de Serrano",2014-09-04,"nightlife",-3.6872715,40.4326692
242,"Rooks Comics and Games",2013-10-30,"shopping",-111.0740236,45.6723056
